article_title	PMID	sentence	short_form	long_form
Characterization of HIV-1 Envelope V3 Region Sequences from Virologically Controlled HIV-Infected Older Patients on Long Term Antiretroviral Therapy.	33287636	While many HIV-infected patients have attained older age due to the success of antiretroviral therapy (ART) in controlling viremia and increasing CD4 T-cell counts, HIV continues to persist in several target cells. We have characterized 514 HIV-1 envelope V3 region sequences (94-96 amino acids) from 25 HIV-infected older patients' PBMC DNA on long-term ART with controlled viremia (undetectable viral load) and improved CD4 T-cell counts. Phylogenetic analysis revealed that the V3 region sequences of each patient formed distinct clusters that were well separated and discriminated from other patients' sequences. The coding potential of the V3 region, including several patient-specific amino acid motifs and functional domains, including the 2 cysteines sandwiching the V3 loop, the central GPGR motif with variation at 1 position in some sequences, the base GDIR motif, and the N-glycosylation sites were generally conserved. The patients' V3 region sequences contained amino acid motifs conferring affinity mostly for CCR5 coreceptor, suggesting R5 phenotype. There was a low degree of heterogeneity and lower estimates of genetic diversity in all 25 patients' V3 region sequences. Twelve out of 25 patients' V3 region sequences were found to be under positive selection pressure. Analysis of the several cytotoxic T-lymphocytes (CTL) epitopes showed variation, whereas some of known neutralizing antibodies (nAb) epitopes showed conservation in patients' V3 region sequences. In conclusion, a low degree of genetic variability and maintenance of functional domains with R5 phenotypes, and variation in CTL and conservation of nAb epitopes were the hallmarks of V3 region sequences from our 25 virologically controlled HIV-infected older patients on long-term ART.	ĠT-lymphocytesCTL	 cytotoxic
Characterization of HIV-1 Envelope V3 Region Sequences from Virologically Controlled HIV-Infected Older Patients on Long Term Antiretroviral Therapy.	33287636	While many HIV-infected patients have attained older age due to the success of antiretroviral therapy (ART) in controlling viremia and increasing CD4 T-cell counts, HIV continues to persist in several target cells. We have characterized 514 HIV-1 envelope V3 region sequences (94-96 amino acids) from 25 HIV-infected older patients' PBMC DNA on long-term ART with controlled viremia (undetectable viral load) and improved CD4 T-cell counts. Phylogenetic analysis revealed that the V3 region sequences of each patient formed distinct clusters that were well separated and discriminated from other patients' sequences. The coding potential of the V3 region, including several patient-specific amino acid motifs and functional domains, including the 2 cysteines sandwiching the V3 loop, the central GPGR motif with variation at 1 position in some sequences, the base GDIR motif, and the N-glycosylation sites were generally conserved. The patients' V3 region sequences contained amino acid motifs conferring affinity mostly for CCR5 coreceptor, suggesting R5 phenotype. There was a low degree of heterogeneity and lower estimates of genetic diversity in all 25 patients' V3 region sequences. Twelve out of 25 patients' V3 region sequences were found to be under positive selection pressure. Analysis of the several cytotoxic T-lymphocytes (CTL) epitopes showed variation, whereas some of known neutralizing antibodies (nAb) epitopes showed conservation in patients' V3 region sequences. In conclusion, a low degree of genetic variability and maintenance of functional domains with R5 phenotypes, and variation in CTL and conservation of nAb epitopes were the hallmarks of V3 region sequences from our 25 virologically controlled HIV-infected older patients on long-term ART.	ART	 antiretroviral therapy
Design and Assessment of Novel Anti-CD30 CARs with Human Antigen-recognition Domains.	33287637	Chimeric antigen receptors are artificial fusion proteins that incorporate antigen-recognition domains and T-cell signaling domains. CD30 is a cell-surface protein expressed on Hodgkin lymphoma (HL), some T-cell lymphomas, and some B-cell lymphomas. CD30 has a restricted expression pattern in normal cells, so CD30 has good potential as a clinical target for CAR T cells. We compared 3 different anti-CD30 CAR designs incorporating a single-chain variable fragment derived from the 5F11 fully-human monoclonal antibody. 5F11-28Z has hinge, transmembrane, and costimulatory domains from CD28 and a CD3-zeta. T-cell activation domain. 5F11-CD828Z has hinge and transmembrane domains from CD8-alpha, a CD28 costimulatory domain, and a CD3-zeta T-cell activation domain. 5F11-CD8BBZ is identical to 5F11-CD828Z except for the replacement of the CD28 moiety with a 4-1BB moiety. We found that T cells expressing 5F11-CD8BBZ had lower levels of CD30-specific degranulation and cytokine release compared with CD28-containing CARs. When compared to the CD28-containing CARs, T cells expressing 5F11-CD8BBZ had higher levels of nonspecific functional activity including degranulation, cytokine release, and proliferation when stimulated with CD30-negative target cells. We established tumors in nod-scid common gamma-chain (NSG) mice and treated the tumors with T cells expressing different CARs. T cells expressing 5F11-28Z were most effective at eradicating tumors. T cells expressing 5F11-CD828Z had intermediate effectiveness, and T cells expressing 5F11-CD8BBZ were least effective. CD30+ T cells are lost from cultures of T cells containing 5F11-28Z-expressing T cells. This indicated the killing of CD30+ T cells by the 5F11-28Z-expressing T cells. Despite this, the number of T cells in the cultures consistently accumulated to numbers needed for use in a clinical trial. Based on all in vitro and murine experiments comparing the different CARs, we selected 5F11-28Z for further development, and we have initiated a clinical trial testing 5F11-28Z T cells.	HL	 Hodgkin lymphoma
Analysis of single nucleotide polymorphisms related to heifer fertility in Hanwoo (Korean cattle).	33287639	Genome-wide association studies (GWAS) have accelerated the identification of functional trait loci in cattle and identified single nucleotide polymorphisms (SNPs) in candidate genes associated with fertility and production traits in high milk yield dairy cattle. The fertility of Hanwoo (Korean native beef cattle) has declined after the adaptation of a selection program for high quantity and quality meat. However, there are few GWAS studies of fertility in beef cattle. We performed a genome-wide association study of 40 Korean native beef cattle heifers with imputed 770 K genotype and identified 12 significant SNPs within seven regions on three chromosomes (BTA 8, BTA 16 and BTA 24) associated with services per conception (SPC). Five SNPs were located in the ABCA1, BRINP3 and ESRRG genes, which are involved in early embryo development. In addition, 27 proximal genes were identified within 1 Mb of the candidate SNPs, which are involved in muscle cell differentiation and muscle structure development. However, we did not find any previously reported SNPs related to fertility in Holstein cows. Taken together, we identified SNPs associated with SPC and their proximal genes using gene-based analysis and the candidates were different from SNPs associated with subfertility of dairy cattle.	SPC	 services per conception
Analysis of single nucleotide polymorphisms related to heifer fertility in Hanwoo (Korean cattle).	33287639	Genome-wide association studies (GWAS) have accelerated the identification of functional trait loci in cattle and identified single nucleotide polymorphisms (SNPs) in candidate genes associated with fertility and production traits in high milk yield dairy cattle. The fertility of Hanwoo (Korean native beef cattle) has declined after the adaptation of a selection program for high quantity and quality meat. However, there are few GWAS studies of fertility in beef cattle. We performed a genome-wide association study of 40 Korean native beef cattle heifers with imputed 770 K genotype and identified 12 significant SNPs within seven regions on three chromosomes (BTA 8, BTA 16 and BTA 24) associated with services per conception (SPC). Five SNPs were located in the ABCA1, BRINP3 and ESRRG genes, which are involved in early embryo development. In addition, 27 proximal genes were identified within 1 Mb of the candidate SNPs, which are involved in muscle cell differentiation and muscle structure development. However, we did not find any previously reported SNPs related to fertility in Holstein cows. Taken together, we identified SNPs associated with SPC and their proximal genes using gene-based analysis and the candidates were different from SNPs associated with subfertility of dairy cattle.	SNPs	 single nucleotide polymorphisms
Interobserver Reproducibility in Sonographic Measurement of Diameter and Volume of Papillary Thyroid Microcarinoma.	33287640	Active surveillance is recommended as an alternative to immediate surgery for low-risk papillary thyroid microcarcinoma (PTMC), and determining meaningful changes in diameter and volume on ultrasonography (US) is critical. However, interobserver reproducibility of the sonographic measurement of maximum diameter and volume of PTMC has not been well established. We aimed to determine the reproducibility in the measurement of maximum diameter and volume of PTMC on US.	US	 ultrasonography
Interobserver Reproducibility in Sonographic Measurement of Diameter and Volume of Papillary Thyroid Microcarinoma.	33287640	Active surveillance is recommended as an alternative to immediate surgery for low-risk papillary thyroid microcarcinoma (PTMC), and determining meaningful changes in diameter and volume on ultrasonography (US) is critical. However, interobserver reproducibility of the sonographic measurement of maximum diameter and volume of PTMC has not been well established. We aimed to determine the reproducibility in the measurement of maximum diameter and volume of PTMC on US.	PTMC	 papillary thyroid microcarcinoma
The Experience of Working With a Faith Community Nurse Liaison of Care in a Primary Care Practice Among Older Adult Clients and Their Informal Caregiver.	33287641	Informal caregivers of older adults aging in place are at risk for adverse health and financial consequences. This descriptive qualitative study explored the experience of working with a faith community nurse (FCN) liaison of care in a Catholic health care system affiliated primary care practice among older adult clients and their informal caregiver. Semistructured face-to-face interviews were conducted with nine older adult client-informal caregiver dyads, three clients, and one caregiver (n = 22). Interviews were audio recorded, transcribed, and analyzed using Braun and Clarke's reflexive thematic analysis method. The analysis generated one overarching theme, I'm Sorry the Study and FCN Visits Are Coming to an End, and two key themes, The FCN Was Always There to Help Us (older adult clients) and The FCN Took the Pressure Off of Caregiving for Awhile (informal caregivers). Participants viewed the FCN as an instrumental member of their health care team and considered prayer and spiritual support offered by the FCN an essential element of care.	FCN	 faith community nurse
Associations of Observational and Genetically Determined Caffeine Intake With Coronary Artery Disease and Diabetes Mellitus.	33287642	Background Caffeine is the most widely consumed psychostimulant and is associated with lower risk of coronary artery disease (CAD) and type 2 diabetes mellitus (T2DM). However, whether these associations are causal remains unknown. This study aimed to identify genetic variants associated with caffeine intake, and to investigate evidence for causal links with CAD or T2DM. In addition, we aimed to replicate previous observational findings. Methods and Results Observational associations were tested within UK Biobank using Cox regression analyses. Moderate observational caffeine intakes from coffee or tea were associated with lower risks of CAD or T2DM, with the lowest risks at intakes of 121 to 180 mg/day from coffee for CAD (hazard ratio [HR], 0.77 [95% CI, 0.73-0.82; P<1×10-16]), and 301 to 360 mg/day for T2DM (HR, 0.76 [95% CI, 0.67-0.86]; P=1.57×10-5). Next, genome-wide association studies were performed on self-reported caffeine intake from coffee, tea, or both in 407 072 UK Biobank participants. These analyses identified 51 novel genetic variants associated with caffeine intake at P<1.67×10-8. These loci were enriched for central nervous system genes. However, in contrast to the observational analyses, 2-sample Mendelian randomization analyses using the identified loci in independent disease-specific cohorts yielded no evidence for causal links between genetically determined caffeine intake and the development of CAD or T2DM. Conclusions Mendelian randomization analyses indicate genetically determined higher caffeine intake might not protect against CAD or T2DM, despite protective associations in observational analyses.	HR	hazard ratio
Associations of Observational and Genetically Determined Caffeine Intake With Coronary Artery Disease and Diabetes Mellitus.	33287642	Background Caffeine is the most widely consumed psychostimulant and is associated with lower risk of coronary artery disease (CAD) and type 2 diabetes mellitus (T2DM). However, whether these associations are causal remains unknown. This study aimed to identify genetic variants associated with caffeine intake, and to investigate evidence for causal links with CAD or T2DM. In addition, we aimed to replicate previous observational findings. Methods and Results Observational associations were tested within UK Biobank using Cox regression analyses. Moderate observational caffeine intakes from coffee or tea were associated with lower risks of CAD or T2DM, with the lowest risks at intakes of 121 to 180 mg/day from coffee for CAD (hazard ratio [HR], 0.77 [95% CI, 0.73-0.82; P<1×10-16]), and 301 to 360 mg/day for T2DM (HR, 0.76 [95% CI, 0.67-0.86]; P=1.57×10-5). Next, genome-wide association studies were performed on self-reported caffeine intake from coffee, tea, or both in 407 072 UK Biobank participants. These analyses identified 51 novel genetic variants associated with caffeine intake at P<1.67×10-8. These loci were enriched for central nervous system genes. However, in contrast to the observational analyses, 2-sample Mendelian randomization analyses using the identified loci in independent disease-specific cohorts yielded no evidence for causal links between genetically determined caffeine intake and the development of CAD or T2DM. Conclusions Mendelian randomization analyses indicate genetically determined higher caffeine intake might not protect against CAD or T2DM, despite protective associations in observational analyses.	T2DM	 type 2 diabetes mellitus
Associations of Observational and Genetically Determined Caffeine Intake With Coronary Artery Disease and Diabetes Mellitus.	33287642	Background Caffeine is the most widely consumed psychostimulant and is associated with lower risk of coronary artery disease (CAD) and type 2 diabetes mellitus (T2DM). However, whether these associations are causal remains unknown. This study aimed to identify genetic variants associated with caffeine intake, and to investigate evidence for causal links with CAD or T2DM. In addition, we aimed to replicate previous observational findings. Methods and Results Observational associations were tested within UK Biobank using Cox regression analyses. Moderate observational caffeine intakes from coffee or tea were associated with lower risks of CAD or T2DM, with the lowest risks at intakes of 121 to 180 mg/day from coffee for CAD (hazard ratio [HR], 0.77 [95% CI, 0.73-0.82; P<1×10-16]), and 301 to 360 mg/day for T2DM (HR, 0.76 [95% CI, 0.67-0.86]; P=1.57×10-5). Next, genome-wide association studies were performed on self-reported caffeine intake from coffee, tea, or both in 407 072 UK Biobank participants. These analyses identified 51 novel genetic variants associated with caffeine intake at P<1.67×10-8. These loci were enriched for central nervous system genes. However, in contrast to the observational analyses, 2-sample Mendelian randomization analyses using the identified loci in independent disease-specific cohorts yielded no evidence for causal links between genetically determined caffeine intake and the development of CAD or T2DM. Conclusions Mendelian randomization analyses indicate genetically determined higher caffeine intake might not protect against CAD or T2DM, despite protective associations in observational analyses.	CAD	 coronary artery disease
Absorption, distribution, metabolism, and excretion of three [14C]PBDE congeners in laying hens and transfer to eggs.	33287643	Polybrominated diphenyl ethers (PBDEs) levels in environmental matrices have generally declined following their phaseout as flame retardants. The objective of this study was to determine the absorption, distribution, metabolism, and excretion of three persistent PBDEs in laying hens and their transfer into eggs. Laying hens (n = 4 per congener) received a single oral dose of BDE-99, -153, or -209 and eggs and excreta were collected daily for 7 days, then tissues were collected and analysed. Cumulative BDE-209 excretion was 93% of dose, and bioavailability was approximately 17%. Lesser amounts of BDE-99 (41%) and -153 (26%) were excreted with bioavailabilities of 87% and 79%, respectively. Phenolic metabolites were observed in excreta extracts from BDE-99 dosed birds. Cumulative transfers based on bioavailability of BDE-99, -153, and -209 to eggs were 17%, 34%, and 15%, respectively. Egg residues were primarily present in yolk (12.3%, 23.5%, and 2.1% of the total dose for BDE-99, -153, and -209, respectively). Adipose, skin, ova, intestine, and thigh muscle contained the highest levels of radioactive tissue residues. These studies demonstrate movement of PBDE residues into edible tissues and eggs of laying hens.	PBDEs	 Polybrominated diphenyl ethers
In vitro performance of 3D printed PCL-β-TCP degradable spinal fusion cage.	33287645	Spinal fusion cages are commonly used to treat spinal diseases caused by degenerative changes, deformities, and trauma. At present, most of the main clinical spinal fusion cage products are non-degradable and still cause some undesirable side effects, such as the stress shielding phenomenon, interference with postoperative medical imaging, and obvious foreign body sensation in patients. Degradable spinal fusion cages have promising potential with extensive perspectives. The purpose of this study was to fabricate a degradable spinal fusion cage from both polycaprolactone (PCL) and high-proportion beta-tricalcium phosphate (β-TCP), using the highly personalised, accurate, and rapid fused deposition modelling 3 D printing technology. PCL and β-TCP were mixed in three different ratios (60:40, 55:45, and 50:50). Both in vitro degradation and cell experiments proved that all cages with the different PCL:β-TCP ratios met the mechanical properties of human cancellous bone while maintaining their structural integrity. The biological activity of the cages improved with higher amounts of the β-TCP content. This study also showed that a spinal fusion cage with high β-TCP content and suitable mechanical properties can be manufactured using extruding rods and appropriate models, providing a new solution for the design of degradable spinal fusion cages.	Î²-TCP	 beta-tricalcium phosphate
In vitro performance of 3D printed PCL-β-TCP degradable spinal fusion cage.	33287645	Spinal fusion cages are commonly used to treat spinal diseases caused by degenerative changes, deformities, and trauma. At present, most of the main clinical spinal fusion cage products are non-degradable and still cause some undesirable side effects, such as the stress shielding phenomenon, interference with postoperative medical imaging, and obvious foreign body sensation in patients. Degradable spinal fusion cages have promising potential with extensive perspectives. The purpose of this study was to fabricate a degradable spinal fusion cage from both polycaprolactone (PCL) and high-proportion beta-tricalcium phosphate (β-TCP), using the highly personalised, accurate, and rapid fused deposition modelling 3 D printing technology. PCL and β-TCP were mixed in three different ratios (60:40, 55:45, and 50:50). Both in vitro degradation and cell experiments proved that all cages with the different PCL:β-TCP ratios met the mechanical properties of human cancellous bone while maintaining their structural integrity. The biological activity of the cages improved with higher amounts of the β-TCP content. This study also showed that a spinal fusion cage with high β-TCP content and suitable mechanical properties can be manufactured using extruding rods and appropriate models, providing a new solution for the design of degradable spinal fusion cages.	PCL	 polycaprolactone
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma. USPIONs were prepared by the thermal decomposition method. The hydrophobic USPIONs were coated with citric acid by the ligand exchange method. Then, Lf was conjugated into the surface of USPIONs. The obtained Lf-USPIONs were analyzed by fourier transform infrared (FTIR) spectroscopy and polyacrylamide gel electrophoresis. The size, size distribution, shape and superparamagnetic property of Lf-USPIONs were investigated with TEM and vibrating sample magnetometer (VSM). Both FTIR and electrophoresis analysis demonstrated the successful conjugation of Lf to the surface of USPIONs. The average size of Lf-USPIONs was about 8.4 ± 0.5 nm, which was determined using the statistics of measured over 100 nanoparticles in the TEM image, with a negative charge of -7.3 ± 0.2 mV. TEM imaging revealed that Lf-USPIONs were good in dispersion and polygonal in morphology. VSM results indicated that Lf-USPIONs were superparamagnetic and the saturated magnetic intensity was about 69.8 emu/g. The Lf-USPIONs also showed good biocompatibility in hemolysis, cytotoxicity, cell migration and blood biochemistry studies. MR imaging results in vitro and in vivo indicated that Lf-USPIONs exhibited good negative contrast enhancement. Taken together, Lf-USPIONs hold great potential for brain gliomas MR imaging as a nanosized targeted contrast agent.	VSM	 vibrating sample magnetometer
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma. USPIONs were prepared by the thermal decomposition method. The hydrophobic USPIONs were coated with citric acid by the ligand exchange method. Then, Lf was conjugated into the surface of USPIONs. The obtained Lf-USPIONs were analyzed by fourier transform infrared (FTIR) spectroscopy and polyacrylamide gel electrophoresis. The size, size distribution, shape and superparamagnetic property of Lf-USPIONs were investigated with TEM and vibrating sample magnetometer (VSM). Both FTIR and electrophoresis analysis demonstrated the successful conjugation of Lf to the surface of USPIONs. The average size of Lf-USPIONs was about 8.4 ± 0.5 nm, which was determined using the statistics of measured over 100 nanoparticles in the TEM image, with a negative charge of -7.3 ± 0.2 mV. TEM imaging revealed that Lf-USPIONs were good in dispersion and polygonal in morphology. VSM results indicated that Lf-USPIONs were superparamagnetic and the saturated magnetic intensity was about 69.8 emu/g. The Lf-USPIONs also showed good biocompatibility in hemolysis, cytotoxicity, cell migration and blood biochemistry studies. MR imaging results in vitro and in vivo indicated that Lf-USPIONs exhibited good negative contrast enhancement. Taken together, Lf-USPIONs hold great potential for brain gliomas MR imaging as a nanosized targeted contrast agent.	FTIR	 fourier transform infrared
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma. USPIONs were prepared by the thermal decomposition method. The hydrophobic USPIONs were coated with citric acid by the ligand exchange method. Then, Lf was conjugated into the surface of USPIONs. The obtained Lf-USPIONs were analyzed by fourier transform infrared (FTIR) spectroscopy and polyacrylamide gel electrophoresis. The size, size distribution, shape and superparamagnetic property of Lf-USPIONs were investigated with TEM and vibrating sample magnetometer (VSM). Both FTIR and electrophoresis analysis demonstrated the successful conjugation of Lf to the surface of USPIONs. The average size of Lf-USPIONs was about 8.4 ± 0.5 nm, which was determined using the statistics of measured over 100 nanoparticles in the TEM image, with a negative charge of -7.3 ± 0.2 mV. TEM imaging revealed that Lf-USPIONs were good in dispersion and polygonal in morphology. VSM results indicated that Lf-USPIONs were superparamagnetic and the saturated magnetic intensity was about 69.8 emu/g. The Lf-USPIONs also showed good biocompatibility in hemolysis, cytotoxicity, cell migration and blood biochemistry studies. MR imaging results in vitro and in vivo indicated that Lf-USPIONs exhibited good negative contrast enhancement. Taken together, Lf-USPIONs hold great potential for brain gliomas MR imaging as a nanosized targeted contrast agent.	MRI	 magnetic resonance imaging
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma. USPIONs were prepared by the thermal decomposition method. The hydrophobic USPIONs were coated with citric acid by the ligand exchange method. Then, Lf was conjugated into the surface of USPIONs. The obtained Lf-USPIONs were analyzed by fourier transform infrared (FTIR) spectroscopy and polyacrylamide gel electrophoresis. The size, size distribution, shape and superparamagnetic property of Lf-USPIONs were investigated with TEM and vibrating sample magnetometer (VSM). Both FTIR and electrophoresis analysis demonstrated the successful conjugation of Lf to the surface of USPIONs. The average size of Lf-USPIONs was about 8.4 ± 0.5 nm, which was determined using the statistics of measured over 100 nanoparticles in the TEM image, with a negative charge of -7.3 ± 0.2 mV. TEM imaging revealed that Lf-USPIONs were good in dispersion and polygonal in morphology. VSM results indicated that Lf-USPIONs were superparamagnetic and the saturated magnetic intensity was about 69.8 emu/g. The Lf-USPIONs also showed good biocompatibility in hemolysis, cytotoxicity, cell migration and blood biochemistry studies. MR imaging results in vitro and in vivo indicated that Lf-USPIONs exhibited good negative contrast enhancement. Taken together, Lf-USPIONs hold great potential for brain gliomas MR imaging as a nanosized targeted contrast agent.	Lf	 lactoferrin
Citric acid coated ultrasmall superparamagnetic iron oxide nanoparticles conjugated with lactoferrin for targeted negative MR imaging of glioma.	33287646	The proposed study was to develop the preparation of ultrasmall superparamagnetic iron oxide nanoparticles (USPIONs) modified with citric acid, with surface conjugated with lactoferrin (Lf), which used as a potential targeted contrast agent for magnetic resonance imaging (MRI) of brain glioma. USPIONs were prepared by the thermal decomposition method. The hydrophobic USPIONs were coated with citric acid by the ligand exchange method. Then, Lf was conjugated into the surface of USPIONs. The obtained Lf-USPIONs were analyzed by fourier transform infrared (FTIR) spectroscopy and polyacrylamide gel electrophoresis. The size, size distribution, shape and superparamagnetic property of Lf-USPIONs were investigated with TEM and vibrating sample magnetometer (VSM). Both FTIR and electrophoresis analysis demonstrated the successful conjugation of Lf to the surface of USPIONs. The average size of Lf-USPIONs was about 8.4 ± 0.5 nm, which was determined using the statistics of measured over 100 nanoparticles in the TEM image, with a negative charge of -7.3 ± 0.2 mV. TEM imaging revealed that Lf-USPIONs were good in dispersion and polygonal in morphology. VSM results indicated that Lf-USPIONs were superparamagnetic and the saturated magnetic intensity was about 69.8 emu/g. The Lf-USPIONs also showed good biocompatibility in hemolysis, cytotoxicity, cell migration and blood biochemistry studies. MR imaging results in vitro and in vivo indicated that Lf-USPIONs exhibited good negative contrast enhancement. Taken together, Lf-USPIONs hold great potential for brain gliomas MR imaging as a nanosized targeted contrast agent.	USPIONs	articles
Co-occurrence of mycotoxins, aflatoxin biosynthetic precursors, and Aspergillus metabolites in garlic (Allium sativum L) marketed in Zaria, Nigeria.	33287649	Multi-mycotoxin analysis of 72 samples of garlic bulbs sold in Zaria markets was carried out using a liquid chromatography-mass spectrometry (LC-MS/MS) method. The results indicated the presence of seven major mycotoxins, including aflatoxin B1 (AFB1), ochratoxin A (OTA), and the fumonisins B1, B2, B3, B4, and B6, at different levels of contamination. AFB1 and OTA were detected in 1 of the 72 samples (1.4%) with median concentrations of 5.48 and 12.3 µg/kg, respectively. FB1 and FB2 were detected in 77% and 100% of the analysed samples, with median concentrations of 401 µg/kg and 491 µg/kg, respectively. The observed levels of AFB1, OTA, FB1, and FB2 were above the EU maximum limit in herbal products. Sterigmatocystin (STC), an AFB1 biosynthetic precursor, was present in all tested samples. The contamination level of mycotoxins and Aspergillus metabolites of marketed garlic in the study area is of public health concern.	STC	 Sterigmatocystin
Co-occurrence of mycotoxins, aflatoxin biosynthetic precursors, and Aspergillus metabolites in garlic (Allium sativum L) marketed in Zaria, Nigeria.	33287649	Multi-mycotoxin analysis of 72 samples of garlic bulbs sold in Zaria markets was carried out using a liquid chromatography-mass spectrometry (LC-MS/MS) method. The results indicated the presence of seven major mycotoxins, including aflatoxin B1 (AFB1), ochratoxin A (OTA), and the fumonisins B1, B2, B3, B4, and B6, at different levels of contamination. AFB1 and OTA were detected in 1 of the 72 samples (1.4%) with median concentrations of 5.48 and 12.3 µg/kg, respectively. FB1 and FB2 were detected in 77% and 100% of the analysed samples, with median concentrations of 401 µg/kg and 491 µg/kg, respectively. The observed levels of AFB1, OTA, FB1, and FB2 were above the EU maximum limit in herbal products. Sterigmatocystin (STC), an AFB1 biosynthetic precursor, was present in all tested samples. The contamination level of mycotoxins and Aspergillus metabolites of marketed garlic in the study area is of public health concern.	OTA	 ochratoxin A
Co-occurrence of mycotoxins, aflatoxin biosynthetic precursors, and Aspergillus metabolites in garlic (Allium sativum L) marketed in Zaria, Nigeria.	33287649	Multi-mycotoxin analysis of 72 samples of garlic bulbs sold in Zaria markets was carried out using a liquid chromatography-mass spectrometry (LC-MS/MS) method. The results indicated the presence of seven major mycotoxins, including aflatoxin B1 (AFB1), ochratoxin A (OTA), and the fumonisins B1, B2, B3, B4, and B6, at different levels of contamination. AFB1 and OTA were detected in 1 of the 72 samples (1.4%) with median concentrations of 5.48 and 12.3 µg/kg, respectively. FB1 and FB2 were detected in 77% and 100% of the analysed samples, with median concentrations of 401 µg/kg and 491 µg/kg, respectively. The observed levels of AFB1, OTA, FB1, and FB2 were above the EU maximum limit in herbal products. Sterigmatocystin (STC), an AFB1 biosynthetic precursor, was present in all tested samples. The contamination level of mycotoxins and Aspergillus metabolites of marketed garlic in the study area is of public health concern.	LC-MS/MS	 liquid chromatography-mass spectrometry
Assessment of Pain and Analgesic Use in Children Following Otologic Surgery.	33287651	To compare postoperative pain and analgesic use in children following transcanal endoscopic ear surgery (TEES) vs non-transcanal endoscopic ear surgery (non-TEES).	non-TEES	 nontranscanal endoscopic ear surgery
Assessment of Pain and Analgesic Use in Children Following Otologic Surgery.	33287651	To compare postoperative pain and analgesic use in children following transcanal endoscopic ear surgery (TEES) vs non-transcanal endoscopic ear surgery (non-TEES).	TEES	 transcanal endoscopic ear surgery
The Impact of Positive School Climate on Suicidality and Mental Health Among LGBTQ Adolescents: A Systematic Review.	33287652	Lesbian, gay, bisexual, transgender, and queer/questioning (LGBTQ) adolescents are more likely to report suicidality and worse mental health than their heterosexual peers. We conducted a systematic review to examine the relationship between positive school climate and suicidality and mental health among LGBTQ adolescents. We searched the literature using PubMed, PsycINFO, and CINAHL. Six studies met inclusion criteria, and all had low to moderate risks of bias. Results indicate that LGBTQ students in schools with more positive school climates were at lower risk of suicidality and reported fewer depressive symptoms compared to students in less positive school climates. Being at the forefront of health in schools, school nurses have the opportunity to advocate for changes in school environments that promote positive mental health for all youth, including LGBTQ adolescents.	LGBTQ	 Lesbian, gay, bisexual, transgender, and queer/questioning
CTNNB1 Knockdown Inhibits Cell Proliferation and Aldosterone Secretion Through Inhibiting Wnt/β-Catenin Signaling in H295R Cells.	33287648	Aldosterone-producing adenomas (APA) is one of the causative factors of primary aldosteronism. Previous studies have suggested that there are somatic CTNNB1 mutations in APA, but the specific mechanism of CTNNB1 mutation in APA tumorigenesis and aldosterone secretion remains unclear. In the present study, human adrenocortical carcinoma cell line H295 R was used to establish stable CTNNB1 knockdown cell lines. Cell proliferation and aldosterone secretion of H295 R cells in response to angiotensin Ⅱ (Agn Ⅱ) were analyzed. We found that CTNNB1 knockdown reduced β-catenin expression and inhibited proliferation of H295 R cells. CTNNB1 knockdown inhibited Wnt/β-catenin signaling pathway and downregulated expression of downstream genes including axin 2, lymphoid enhancer binding factor 1 (LEF1), and cyclin D1. In addition, CTNNB1 knockdown decreased responses of H295 R cells to Agn Ⅱ and decreased aldosterone secretion. Our findings suggest that CTNNB1 knockdown can inhibit H295 R cell proliferation and decrease aldosterone secretion in the responses of H295 R cells to Ang II through inhibiting Wnt/β-catenin signaling pathway, indicating that targeting Wnt/β-catenin signaling pathway may be an important approach to decrease aldosterone secretion in the treatment of aldoster-producing adenomas.	APA	 Aldosterone-producing adenomas
